Model,Index,Compress,Scale,Set5,Set14,BSD100,Urban100,Manga109,Time,Note
MuLUT,sdy,-,x4,28.9725/0.9866,25.7574/0.9612,25.4380/0.9428,22.9015/0.9424,26.1189/0.9760,2025/1/9,
,,,,,,,,,,
